Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,FACTOR,VOP,DRB%,PER
322,Jock Landale,C,26,SAS,54,1,10.9,1.9,3.8,0.495,0.5,1.6,0.326,1.3,2.1,0.626,0.566,0.6,0.8,0.829,1.2,1.4,2.6,0.8,0.2,0.3,0.6,1,4.9,S21-22,0.633425669,1.379504505,0.538461538,0.107783129
542,Xavier Tillman Sr.,PF,23,MEM,53,2,13.2,1.8,4.1,0.454,0.2,0.9,0.204,1.7,3.2,0.527,0.477,0.9,1.3,0.648,1.2,1.8,3,1.2,0.9,0.3,0.6,1.2,4.8,S21-22,0.583333333,1.178781925,0.6,0.05539001
217,Al Horford,C,36,BOS,63,63,30.5,3.6,7.6,0.476,2.3,5.2,0.446,1.3,2.4,0.539,0.627,0.2,0.3,0.714,1.2,5,6.2,3,0.5,1,0.6,1.9,9.8,S22-23,0.655092593,1.374088615,0.806451613,0.124194814
234,Juancho Hernangï¿½ï¿,PF,26,TOT,40,9,11.1,1.1,2.7,0.415,0.6,1.7,0.348,0.5,0.9,0.541,0.528,0.5,0.9,0.559,0.7,1.8,2.5,0.5,0.4,0.3,0.4,0.6,3.3,S21-22,0.615013774,1.180257511,0.72,0.115128093
139,Tari Eason,PF,21,HOU,82,5,21.5,3.6,8,0.448,0.7,2.1,0.343,2.9,6,0.486,0.493,1.3,1.8,0.752,2.4,3.7,6,1.1,1.2,0.6,1.2,2.3,9.3,S22-23,0.63908179,1.224973656,0.6,0.103360763
32,Scottie Barnes,PF,20,TOR,74,74,35.4,6.2,12.6,0.492,0.8,2.6,0.301,5.4,10,0.543,0.524,2.1,2.9,0.735,2.6,4.9,7.5,3.5,1.1,0.7,1.8,2.6,15.3,S21-22,0.618864898,1.170082594,0.653333333,0.003331655
585,Grant Williams,PF,23,BOS,77,21,24.4,2.7,5.6,0.475,1.4,3.4,0.411,1.3,2.3,0.569,0.597,1.1,1.2,0.905,0.8,2.7,3.6,1,0.5,0.7,0.8,2.4,7.8,S21-22,0.628943759,1.272845953,0.777777778,0.036634065
150,Andre Drummond,C,28,PHI,49,12,18.4,2.6,4.9,0.538,0,0,0,2.6,4.8,0.542,0.538,0.9,1.7,0.512,2.8,6.1,8.8,2,1.1,0.9,1.6,2.5,6.1,S21-22,0.600098619,1.371402878,0.681818182,0.19783489
138,Gorgui Dieng,C,32,ATL,44,3,8.4,1.2,2.5,0.473,0.7,1.5,0.426,0.5,1,0.545,0.603,0.4,0.6,0.731,0.7,2,2.8,0.8,0.3,0.3,0.5,1.2,3.5,S21-22,0.611111111,1.365054602,0.75,0.253314514
294,Herbert Jones,PF,23,NOP,78,69,29.9,3.5,7.4,0.476,0.7,2.2,0.337,2.8,5.2,0.533,0.525,1.8,2.1,0.84,1.3,2.5,3.8,2.1,1.7,0.8,1.3,3.1,9.5,S21-22,0.58952381,1.141278232,0.657894737,0.040582335
